"Tier","Module","Description","SDK Name","Supplier Name","Component Name/Licensing","Version","EOL","UID","Dependency Matrix/IP rights","Last Updated on","Last Updated by","Links","CVE ID"
"","Health Check","HealthChecks.NpgSql is a health check for Postgress Sql.","=HYPERLINK(""https://www.nuget.org/packages/AspNetCore.HealthChecks.NpgSql/8.0.1"", ""AspNetCore.HealthChecks.NpgSql"")","Xabaril Contributors","Apache-2.0","8.0.1","","","","02-Apr-24","Xabaril Contributors","https://github.com/Xabaril/AspNetCore.Diagnostics.HealthChecks
https://www.nuget.org/packages/AspNetCore.HealthChecks.NpgSql/8.0.1#versions-body-tab",""
"","Health Check","HealthChecks.NpgSql is a health check for Postgress Sql.","=HYPERLINK(""https://www.nuget.org/packages/AspNetCore.HealthChecks.NpgSql/8.0.0"", ""AspNetCore.HealthChecks.NpgSql"")","Xabaril Contributors","Apache-2.0","8.0.0","","","","15-Dec-23","Xabaril Contributors","https://github.com/Xabaril/AspNetCore.Diagnostics.HealthChecks
https://www.nuget.org/packages/AspNetCore.HealthChecks.NpgSql/8.0.0#versions-body-tab",""
"","Mapping","A convention-based object-object mapper.","=HYPERLINK(""https://www.nuget.org/packages/AutoMapper/12.0.1"", ""AutoMapper"")","Jimmy Bogard","MIT","12.0.1","","","","16-Jan-23","Jimmy Bogard","https://automapper.org/
https://www.nuget.org/packages/AutoMapper/12.0.1#versions-body-tab",""
"","Mapping","AutoMapper extensions for ASP.NET Core","=HYPERLINK(""https://www.nuget.org/packages/AutoMapper.Extensions.Microsoft.DependencyInjection/12.0.1"", ""AutoMapper.Extensions.Microsoft.DependencyInjection"")","Jimmy Bogard","MIT","12.0.1","","","","09-Apr-23","Jimmy Bogard","https://automapper.org/
https://www.nuget.org/packages/AutoMapper.Extensions.Microsoft.DependencyInjection/12.0.1#versions-body-tab",""
"","Cloud Services","Amazon CloudFront is a content delivery web service. It integrates with other Am
azon Web Services products to give developers and businesses an easy way to dist
ribute content to end users with low latency, high data transfer speeds, and no 
minimum usage commitments.","=HYPERLINK(""https://www.nuget.org/packages/AWSSDK.CloudFront/3.7.301.29"", ""AWSSDK.CloudFront"")","Amazon Web Services","Apache-2.0","3.7.301.29","","","","14-Jan-24","Amazon Web Services","https://github.com/aws/aws-sdk-net/
https://www.nuget.org/packages/AWSSDK.CloudFront/3.7.301.29#versions-body-tab",""
"","Cloud Services","The Amazon Web Services SDK for .NET - Core Runtime","=HYPERLINK(""https://www.nuget.org/packages/AWSSDK.Core/3.7.301.9"", ""AWSSDK.Core"")","Amazon Web Services","Apache-2.0","3.7.301.9","","","","20-Jan-24","Amazon Web Services","https://github.com/aws/aws-sdk-net/
https://www.nuget.org/packages/AWSSDK.Core/3.7.301.9#versions-body-tab",""
"","Cloud Services","The Amazon Web Services SDK for .NET - Core Runtime","=HYPERLINK(""https://www.nuget.org/packages/AWSSDK.Core/3.7.301.6"", ""AWSSDK.Core"")","Amazon Web Services","Apache-2.0","3.7.301.6","","","","14-Jan-24","Amazon Web Services","https://github.com/aws/aws-sdk-net/
https://www.nuget.org/packages/AWSSDK.Core/3.7.301.6#versions-body-tab",""
"","Cloud Services","Extensions for the AWS SDK for .NET to integrate with .NET Core configuration an
d dependency injection frameworks.","=HYPERLINK(""https://www.nuget.org/packages/AWSSDK.Extensions.NETCore.Setup/3.7.300"", ""AWSSDK.Extensions.NETCore.Setup"")","Amazon Web Services","Apache-2.0","3.7.300","","","","16-Nov-23","Amazon Web Services","https://github.com/aws/aws-sdk-net/
https://www.nuget.org/packages/AWSSDK.Extensions.NETCore.Setup/3.7.300#versions-body-tab",""
"","Cloud Services","AWS Key Management Service (KMS) is a managed service that makes it easy for you
 to create and control the encryption keys used to encrypt your data, and uses H
ardware Security Modules (HSMs) to protect the security of your keys.","=HYPERLINK(""https://www.nuget.org/packages/AWSSDK.KeyManagementService/3.7.300.36"", ""AWSSDK.KeyManagementService"")","Amazon Web Services","Apache-2.0","3.7.300.36","","","","14-Jan-24","Amazon Web Services","https://github.com/aws/aws-sdk-net/
https://www.nuget.org/packages/AWSSDK.KeyManagementService/3.7.300.36#versions-body-tab",""
"","Cloud Services","Amazon Simple Storage Service (Amazon S3), provides developers and IT teams with
 secure, durable, highly-scalable object storage.","=HYPERLINK(""https://www.nuget.org/packages/AWSSDK.S3/3.7.305.14"", ""AWSSDK.S3"")","Amazon Web Services","Apache-2.0","3.7.305.14","","","","20-Jan-24","Amazon Web Services","https://github.com/aws/aws-sdk-net/
https://www.nuget.org/packages/AWSSDK.S3/3.7.305.14#versions-body-tab",""
"","Cloud Services","Amazon Simple Storage Service (Amazon S3), provides developers and IT teams with
 secure, durable, highly-scalable object storage.","=HYPERLINK(""https://www.nuget.org/packages/AWSSDK.S3/3.7.305.11"", ""AWSSDK.S3"")","Amazon Web Services","Apache-2.0","3.7.305.11","","","","14-Jan-24","Amazon Web Services","https://github.com/aws/aws-sdk-net/
https://www.nuget.org/packages/AWSSDK.S3/3.7.305.11#versions-body-tab",""
"","Cloud Services","AWS Secrets Manager enables you to easily create and manage the secrets that you
 use in your customer-facing apps. Instead of embedding credentials into your so
urce code, you can dynamically query Secrets Manager from your app whenever you 
need credentials. You can automatically and frequently rotate your secrets witho
ut having to deploy updates to your apps. All secret values are encrypted when t
hey're at rest with AWS KMS, and while they're in transit with HTTPS and TLS.","=HYPERLINK(""https://www.nuget.org/packages/AWSSDK.SecretsManager/3.7.302.11"", ""AWSSDK.SecretsManager"")","Amazon Web Services","Apache-2.0","3.7.302.11","","","","14-Jan-24","Amazon Web Services","https://github.com/aws/aws-sdk-net/
https://www.nuget.org/packages/AWSSDK.SecretsManager/3.7.302.11#versions-body-tab",""
"","Cloud Services","Amazon SES is an outbound-only email-sending service that provides an easy, cost
-effective way for you to send email.","=HYPERLINK(""https://www.nuget.org/packages/AWSSDK.SimpleEmail/3.7.300.36"", ""AWSSDK.SimpleEmail"")","Amazon Web Services","Apache-2.0","3.7.300.36","","","","14-Jan-24","Amazon Web Services","https://github.com/aws/aws-sdk-net/
https://www.nuget.org/packages/AWSSDK.SimpleEmail/3.7.300.36#versions-body-tab",""
"","Cloud Services","Amazon Simple Notification Service (Amazon SNS) is a fast, flexible, fully manag
ed push messaging service. Amazon SNS makes it simple and cost-effective to push
 notifications to Apple, Google, Fire OS, and Windows devices, as well as Androi
d devices in China with Baidu Cloud Push. You can also use SNS to push notificat
ions to internet connected smart devices, as well as other distributed services.","=HYPERLINK(""https://www.nuget.org/packages/AWSSDK.SimpleNotificationService/3.7.300.36"", ""AWSSDK.SimpleNotificationService"")","Amazon Web Services","Apache-2.0","3.7.300.36","","","","14-Jan-24","Amazon Web Services","https://github.com/aws/aws-sdk-net/
https://www.nuget.org/packages/AWSSDK.SimpleNotificationService/3.7.300.36#versions-body-tab",""
"","Cloud Services","Amazon Simple Queue Service (SQS) is a fast, reliable, scalable, fully managed m
essage queuing service. SQS makes it simple and cost-effective to decouple the c
omponents of a cloud application.","=HYPERLINK(""https://www.nuget.org/packages/AWSSDK.SQS/3.7.300.36"", ""AWSSDK.SQS"")","Amazon Web Services","Apache-2.0","3.7.300.36","","","","14-Jan-24","Amazon Web Services","https://github.com/aws/aws-sdk-net/
https://www.nuget.org/packages/AWSSDK.SQS/3.7.300.36#versions-body-tab",""
"","Authentication","This is the implementation of the Azure SDK Client Library for Azure Identity","=HYPERLINK(""https://www.nuget.org/packages/Azure.Identity/1.12.0"", ""Azure.Identity"")","Microsoft","MIT","1.12.0","","","","18-Jun-24","Microsoft","https://github.com/Azure/azure-sdk-for-net/blob/Azure.Identity_1.12.0/sdk/identity/Azure.Identity/README.md
https://www.nuget.org/packages/Azure.Identity/1.12.0#versions-body-tab",""
"","General","Enable SAML v2.0 identity provider (IdP) and service provider (SP) single sign-o
n (SSO) in ASP.NET Core applications. Includes SAML authentication middleware su
pport. This is a fully functional evaluation version of a commercial product. Th
e trial period is 30 days.","=HYPERLINK(""https://www.nuget.org/packages/ComponentSpace.Saml2/4.10.0"", ""ComponentSpace.Saml2"")","ComponentSpace","N/A","4.10.0","","","","08-Nov-23","ComponentSpace","https://www.componentspace.com/saml
https://www.nuget.org/packages/ComponentSpace.Saml2/4.10.0#versions-body-tab",""
